id,name,category,core_idea,signals_to_look_for,common_misinterpretations
1,确认偏误,认知偏差,人倾向于寻找、注意和记住支持已有信念的信息，忽略反面证据,"只收集有利信号，对反面信号视而不见；对模糊行为做有利于自己预设的解读","不是故意歪曲——是自动的认知过滤。确认偏误不意味着结论一定错，只意味着证据收集过程不均衡"
2,投射效应,防御机制,个体将自己的感受、想法或特质错误地归因于他人,"我对ta有好感→坚信ta对我也有好感；自己缺乏安全感→觉得对方在冷淡自己","跟读心术不同——投射是无意识的，当事人真的相信自己的归因。跟共情也不同——共情是感知对方的真实状态，投射是把自己的状态强加给对方"
3,基本归因错误,社会认知,解释他人行为时高估内在特质、低估情境因素；解释自己行为时则相反,"ta没回消息→ta不在乎我（忽略ta可能很忙）；我冷淡→我那天太累了（忽略我可能确实不在乎）","不是简单的双标——是认知资源的分配策略。解释自己时自动访问情境记忆，解释他人时缺乏情境信息"
4,认知失调,态度与行为,当一个人明确意识到"两个认知（信念/态度/行为）相互矛盾"并为此感到不适时，通过改变其中一个认知来消除不适——而非通过改变行为。关键特征：当事人知道自己做的事与自己的认知不一致（明知不合适但放不下、明知该放手却更投入），但仍然选择维持矛盾行为,"前期投入很多感情→即使发现不合适也不退出，反而找理由坚持；对方明明冷淡→我解读为ta只是慢热","不是理性计算——失调缓解发生在意识之外。人真的会相信改编后的认知，不是嘴硬"
5,依恋理论-焦虑型,依恋风格,对关系中的威胁线索高度敏感，需要频繁的确认和 reassurance，害怕被抛弃,"反复检查对方有没有回复、过度解读已读不回、对方稍微冷淡就感到关系即将结束","焦虑型依恋不等于爱得更深——高频率的担忧和情感强度不是爱的证明，是依恋系统被激活的信号"
6,依恋理论-回避型,依恋风格,对亲密感不适，倾向于保持情感距离，在关系紧张时退缩而非沟通,"对方靠近时抽离、避免深度情感对话、用理性化防御处理亲密需求","回避不等于不爱——回避型也渴望连接，但亲密感触发的是不适而非安全感。区分回避和不爱：不爱是没兴趣，回避是有兴趣但害怕"
7,情绪推理,认知偏差,将内心的情绪感受当作了判断外部事实的证据——"我感觉ta在生气，所以ta一定在生气""我感觉ta不在乎我，所以ta不在乎我"。核心是混淆了"我对某事的感受"和"这件事的客观状态"，用自己的焦虑/恐惧/不安作为推断对方行为的唯一依据,"因为对方没回消息而焦虑→焦虑本身被当作'对方有问题'的证据；因为冷战而难过→难过被当作'全是我的错'的证据","情绪确实包含信息，但不是证据。区分：情绪告诉你'这件事对你有意义'，但不告诉你'你的解读是正确的'"
8,互惠规范,社会心理学,人有一种自动的心理倾向：别人对我好→我该回报；我对别人好→别人该回报,"送礼物后期望同等回应、主动分享后期待对方同样主动、没有收到对等回应时感到受伤","互惠是统计规律不是道德义务。对'应该回报'的执念常导致隐性记账——一种表面上不计较、内心却在核算付出与回报的关系毒药"
9,自我实现预言,社会认知,对一个人或关系的预期会导致行为改变，从而让预期成真,"预期对方会冷淡→自己也变冷淡→对方感知到冷淡后真的撤退→'看，我就说ta会走吧'；预期关系会失败→减少投入→关系质量下降→失败","不是玄学。中间变量是行为的改变——你的预期改变了你对他人的行为，他人的反应又验证了你的预期。链条是可打断的"
10,可得性启发,认知偏差,判断事件概率时依赖记忆中例子的容易程度——越容易想到的例子，被判断为越可能发生,"上一次被冷暴力分手→这一次对方稍冷淡就觉得又是冷暴力前兆；刷到很多出轨故事→对伴侣产生更多猜疑","可得性不等于频率。你更容易想到某类事件，可能因为它们更生动、更近期或更情绪化，而非更常见"
